broad_sample	broad_id	plate_map_name	solvent
BRD-A49399758-015-01-8	BRD-A49399758	C-7161-01-LM6-019	DMSO
BRD-A49622760-001-01-9	BRD-A49622760	C-7161-01-LM6-019	DMSO
BRD-K49685476-001-15-9	BRD-K49685476	C-7161-01-LM6-019	DMSO
BRD-K49807096-003-15-5	BRD-K49807096	C-7161-01-LM6-019	DMSO
BRD-K49865102-001-08-4	BRD-K49865102	C-7161-01-LM6-019	DMSO
BRD-K49671696-045-08-5	BRD-K49671696	C-7161-01-LM6-019	DMSO
BRD-A49765801-001-04-1	BRD-A49765801	C-7161-01-LM6-019	DMSO
BRD-K49840922-001-05-1	BRD-K49840922	C-7161-01-LM6-019	DMSO
BRD-K50031829-001-01-6	BRD-K50031829	C-7161-01-LM6-019	DMSO
BRD-K50422030-001-05-3	BRD-K50422030	C-7161-01-LM6-019	DMSO
BRD-K50564936-001-01-6	BRD-K50564936	C-7161-01-LM6-019	DMSO
BRD-A50675702-001-07-1	BRD-A50675702	C-7161-01-LM6-019	DMSO
BRD-K50398167-236-22-7	BRD-K50398167	C-7161-01-LM6-019	DMSO
BRD-K50498985-001-03-3	BRD-K50498985	C-7161-01-LM6-019	DMSO
BRD-K50590187-001-19-9	BRD-K50590187	C-7161-01-LM6-019	DMSO
BRD-K53508936-001-01-0	BRD-K53508936	C-7161-01-LM6-019	DMSO
		C-7161-01-LM6-027	DMSO
BRD-K92301463-001-05-5	BRD-K92301463	C-7161-01-LM6-027	DMSO
BRD-A92630576-050-24-1	BRD-A92630576	C-7161-01-LM6-027	DMSO
BRD-K92723993-001-06-7	BRD-K92723993	C-7161-01-LM6-027	DMSO
BRD-K92303087-001-01-6	BRD-K92303087	C-7161-01-LM6-027	DMSO
BRD-K92657060-001-05-7	BRD-K92657060	C-7161-01-LM6-027	DMSO
BRD-K61443650-236-13-1	BRD-K61443650	C-7161-01-LM6-027	DMSO
BRD-K93123848-001-04-1	BRD-K93123848	C-7161-01-LM6-027	DMSO
BRD-A93255169-001-28-3	BRD-A93255169	C-7161-01-LM6-027	DMSO
BRD-K93869735-001-01-1	BRD-K93869735	C-7161-01-LM6-027	DMSO
BRD-K50691590-001-02-2	BRD-K50691590	C-7161-01-LM6-027	DMSO
BRD-K93208532-001-02-5	BRD-K93208532	C-7161-01-LM6-027	DMSO
BRD-K93255255-001-02-1	BRD-K93255255	C-7161-01-LM6-027	DMSO
BRD-K93880783-001-26-6	BRD-K93880783	C-7161-01-LM6-027	DMSO
BRD-K93779381-001-01-9	BRD-K93779381	C-7161-01-LM6-027	DMSO
BRD-K93767137-001-01-1	BRD-K93767137	C-7161-01-LM6-027	DMSO
BRD-A94756469-001-04-7	BRD-A94756469	C-7161-01-LM6-027	DMSO
BRD-K94436377-001-10-2	BRD-K94436377	C-7161-01-LM6-027	DMSO
BRD-K95763993-001-19-3	BRD-K95763993	C-7161-01-LM6-027	DMSO
BRD-A94543220-001-24-7	BRD-A94543220	C-7161-01-LM6-027	DMSO
BRD-K94534639-001-02-5	BRD-K94534639	C-7161-01-LM6-027	DMSO
BRD-K95773607-004-03-8	BRD-K95773607	C-7161-01-LM6-027	DMSO
BRD-A95869247-001-26-9	BRD-A95869247	C-7161-01-LM6-027	DMSO
BRD-K96319534-003-03-9	BRD-K96319534	C-7161-01-LM6-027	DMSO
BRD-K96615647-001-01-2	BRD-K96615647	C-7161-01-LM6-027	DMSO
BRD-K95880107-001-02-4	BRD-K95880107	C-7161-01-LM6-027	DMSO
BRD-K96342952-001-01-2	BRD-K96342952	C-7161-01-LM6-027	DMSO
BRD-A96456596-001-02-2	BRD-A96456596	C-7161-01-LM6-027	DMSO
BRD-K97101532-001-02-8	BRD-K97101532	C-7161-01-LM6-027	DMSO
BRD-A97104540-004-15-0	BRD-A97104540	C-7161-01-LM6-027	DMSO
BRD-K97181089-003-24-7	BRD-K97181089	C-7161-01-LM6-027	DMSO
BRD-K97564742-050-32-7	BRD-K97564742	C-7161-01-LM6-027	DMSO
BRD-K97643133-003-09-3	BRD-K97643133	C-7161-01-LM6-027	DMSO
BRD-K97158071-001-18-1	BRD-K97158071	C-7161-01-LM6-027	DMSO
BRD-K97530723-001-20-9	BRD-K97530723	C-7161-01-LM6-027	DMSO
BRD-A97674275-001-11-8	BRD-A97674275	C-7161-01-LM6-027	DMSO
BRD-K93034159-001-25-8	BRD-K93034159	C-7161-01-LM6-027	DMSO
BRD-K60230970-001-10-0	BRD-K60230970	C-7161-01-LM6-027	DMSO
BRD-K95412502-003-01-5	BRD-K95412502	C-7161-01-LM6-027	DMSO
BRD-K97309399-001-09-4	BRD-K97309399	C-7161-01-LM6-027	DMSO
BRD-K93461745-003-25-0	BRD-K93461745	C-7161-01-LM6-027	DMSO
BRD-K94288301-001-01-7	BRD-K94288301	C-7161-01-LM6-027	DMSO
BRD-A95939040-001-01-2	BRD-A95939040	C-7161-01-LM6-027	DMSO
BRD-K99504665-001-01-2	BRD-K99504665	C-7161-01-LM6-027	DMSO
BRD-K98572433-001-02-9	BRD-K98572433	C-7161-01-LM6-027	DMSO
BRD-K90868879-001-03-8	BRD-K90868879	C-7161-01-LM6-027	DMSO
BRD-K91544578-001-03-8	BRD-K91544578	C-7161-01-LM6-027	DMSO
BRD-K99545815-001-06-3	BRD-K99545815	C-7161-01-LM6-027	DMSO
BRD-K90825648-001-02-0	BRD-K90825648	C-7161-01-LM6-027	DMSO
BRD-K91495480-001-02-2	BRD-K91495480	C-7161-01-LM6-027	DMSO
BRD-K41996876-001-06-3	BRD-K41996876	C-7161-01-LM6-027	DMSO
